Hampton Inn & Suites Bridgeview Chicago,"Bridgeview, IL",$106
Hampton Inn Champaign Southwest,"Champaign, IL",$104
DoubleTree by Hilton Hotel Chicago - Alsip,"Alsip, IL",$94
DoubleTree by Hilton Hotel Chicago - Arlington Heights,"Arlington Heights, IL",$88
Hilton Garden Inn Chicago/Midway Airport,"Bedford Park, IL",$101
Hampton Inn Chicago-Midway Airport,"Bedford Park, IL",$95
Hampton Inn & Suites St. Louis/Alton,"Alton, IL",$109
Hampton Inn Carbondale,"Carbondale, IL",$102
Home2 Suites by Hilton Carbondale,"Carbondale, IL",$108
Name,Location,Price per Night
Hilton Garden Inn Indianapolis/Carmel,"Carmel, IN",$104
Home2 Suites by Hilton Carmel Indianapolis,"Carmel, IN",
Hampton Inn Indianapolis/Carmel,"Carmel, IN",$97
Homewood Suites by Hilton Indianapolis Carmel,"Carmel, IN",$98
Hampton Inn Anderson,"Anderson, IN",$89
Hampton Inn & Suites Indianapolis/Brownsburg,"Brownsburg, IN",$96
Hampton Inn & Suites Avon Indianapolis,"Avon, IN",
Hampton Inn & Suites Crawfordsville,"Crawfordsville, IN",$87
Hilton Garden Inn Columbus/Edinburgh,"Edinburgh, IN",$109
Hampton Inn Columbus/Taylorsville/Edinburgh,"Edinburgh, IN",$95
Hampton Inn Bloomington,"Bloomington, IN",$87
Home2 Suites by Hilton Bloomington,"Bloomington, IN",$102
Hilton Garden Inn Bloomington,"Bloomington, IN",$104
Homewood Suites by Hilton Bloomington,"Bloomington, IN",$106
Hampton Inn Auburn,"Auburn, IN",$109
Hampton Inn Elkhart,"Elkhart, IN",$90
Hilton Garden Inn Chesterton,"Chesterton, IN",$89
Home2 Suites by Hilton Clarksville Louisville North,"Clarksville, IN",$113
Hampton Inn Louisville-North/Clarksville,"Clarksville, IN",$94
Hampton Inn Corydon,"Corydon, IN",$104
Name,Location,Price per Night
Hampton Inn & Suites Altoona-Des Moines,"Altoona, IA",$92
Hampton Inn & Suites Ames,"Ames, IA",$105
Homewood Suites by Hilton Ankeny,"Ankeny, IA",$113
Hampton Inn & Suites Ankeny,"Ankeny, IA",$108
Hilton Garden Inn Ames,"Ames, IA",$108
Hilton Garden Inn Cedar Falls,"Cedar Falls, IA",$104
Hampton Inn Cedar Falls Downtown,"Cedar Falls, IA",$110
Tru by Hilton Cedar Rapids Westdale,"Cedar Rapids, IA",$67
